Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
BTCCNH,TB_4H_5M,BTCCNH_TB_4H_5M,2,2,0,100.0,554.469653335892,554.469653335892,0.0,999.99,277.234826667946,277.234826667946
XAGUSD,FB_15M_1M,XAGUSD_FB_15M_1M,8,5,3,62.5,503.4999999999989,794.9999999999982,291.4999999999992,2.7272727272727284,62.937499999999865,62.937499999999865
BTCZAR,FB_4H_5M,BTCZAR_FB_4H_5M,1,1,0,100.0,257.62841508963925,257.62841508963925,0.0,999.99,257.62841508963925,257.62841508963925
USTEC_x100,TB_4H_5M,USTEC_x100_TB_4H_5M,1,1,0,100.0,254.900000000016,254.900000000016,0.0,999.99,254.900000000016,254.900000000016
BTCJPY,TB_4H_5M,BTCJPY_TB_4H_5M,2,2,0,100.0,123.51125576700336,123.51125576700336,0.0,999.99,61.75562788350168,61.75562788350168
XAUUSD,TB_15M_1M,XAUUSD_TB_15M_1M,6,4,2,66.66666666666666,118.67999999999029,247.53000000000156,128.85000000001128,1.9210710128054318,19.77999999999838,19.77999999999838
USOIL,TB_15M_1M,USOIL_TB_15M_1M,3,2,1,66.66666666666666,102.50000000000057,113.30000000000027,10.799999999999699,10.490740740741058,34.166666666666856,34.166666666666856
BTCUSD,TB_4H_5M,BTCUSD_TB_4H_5M,2,2,0,100.0,99.85399999999791,99.85399999999791,0.0,999.99,49.926999999998955,49.926999999998955
US30_x10,TB_15M_1M,US30_x10_TB_15M_1M,1,1,0,100.0,78.19999999999712,78.19999999999712,0.0,999.99,78.19999999999712,78.19999999999712
GBPCAD,FB_4H_5M,GBPCAD_FB_4H_5M,5,4,1,80.0,73.36427608923428,80.9217233831695,7.557447293935226,10.70754716981068,14.672855217846855,14.672855217846855
BTCJPY,FB_15M_1M,BTCJPY_FB_15M_1M,3,2,1,66.66666666666666,73.27863442537029,98.79774561125383,25.51911118588354,3.8715198539479694,24.426211475123427,24.426211475123427
