ticket,symbol,type,profit,strategy,comment,open_time,close_time
14,PEP,BUY,-5.600000000000307,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 14:50:00+00:00,2025-11-14 14:52:00+00:00
11,KO,BUY,-2.9999999999999716,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 14:49:00+00:00,2025-11-14 14:53:00+00:00
20,HD,BUY,-6.999999999999886,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 14:51:00+00:00,2025-11-14 14:54:00+00:00
5,AUDNZD,BUY,-4.771031999999727,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 14:45:00+00:00,2025-11-14 14:56:00+00:00
28,EURUSD,SELL,-3.5000000000007248,FB_15M_1M,FB|15M_1M|BVRVDIV,2025-11-14 14:55:00+00:00,2025-11-14 14:57:00+00:00
3,XAUUSD,SELL,-51.35000000000218,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 14:44:00+00:00,2025-11-14 15:00:00+00:00
4,USDJPY,BUY,-6.988346285500093,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 14:44:00+00:00,2025-11-14 15:00:00+00:00
18,USDJPY,BUY,-8.541312126722337,FB_4H_5M,FB|4H_5M|RVRVolDIV,2025-11-14 14:50:00+00:00,2025-11-14 15:00:00+00:00
17,GBPNZD,BUY,-14.937873999999495,TB_4H_5M,TB|4H_5M|RT,2025-11-14 14:50:00+00:00,2025-11-14 15:03:00+00:00
19,EA,SELL,-2.1999999999999886,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 14:51:00+00:00,2025-11-14 15:08:00+00:00
26,PG,SELL,-8.300000000000125,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 14:55:00+00:00,2025-11-14 15:09:00+00:00
7,MCD,SELL,7.799999999999727,TB_15M_1M,TB|15M_1M|BVRTCV,2025-11-14 14:48:00+00:00,2025-11-14 15:11:00+00:00
13,JNJ,SELL,-4.800000000000182,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 14:49:00+00:00,2025-11-14 15:11:00+00:00
10,JPM,BUY,-23.900000000000432,TB_15M_1M,TB|15M_1M|RT,2025-11-14 14:48:00+00:00,2025-11-14 15:12:00+00:00
